player_name,season,shots_total,goals,xg_total,xg_per_shot,on_target,goals_minus_xg,conversion_rate
A. Leon,WSL 2018-2019,11,1,1.3291887938976288,0.12083534489978444,6,-0.3291887938976288,0.09090909090909091
A. Leon,WSL 2019-2020,21,5,4.383604757487774,0.208743083689894,12,0.6163952425122261,0.23809523809523808
A. Leon,WSL 2020-2021,27,1,1.4343082308769226,0.05312252706951565,20,-0.4343082308769226,0.037037037037037035
A. Leon,WSL 2021-2022,25,2,2.07595457136631,0.0830381828546524,17,-0.07595457136631012,0.08
A. Leon,WSL 2022-2023,1,1,0.36796537041664124,0.36796537041664124,1,0.6320346295833588,1.0
A. Leon,WSL 2023-2024,25,5,3.721557132899761,0.14886228531599044,19,1.2784428671002388,0.2
A. Leon,WSL 2024-2025,13,3,1.2692165076732635,0.09763203905178951,12,1.7307834923267365,0.23076923076923078
A. Luik,WSL 2016,2,0,0.0804123729467392,0.0402061864733696,1,-0.0804123729467392,0.0
A. Mannion,WSL 2015,3,1,0.18642370402812958,0.06214123467604319,2,0.8135762959718704,0.3333333333333333
A. Mannion,WSL 2016,2,1,0.844332857284604,0.422166428642302,1,0.15566714271539595,0.5
A. Mannion,WSL 2017,1,0,0.06358381360769272,0.06358381360769272,0,-0.06358381360769272,0.0
A. Mannion,WSL 2017-2018,8,3,3.1048026168491782,0.3881003271061473,7,-0.10480261684917824,0.375
A. Mannion,WSL 2018-2019,4,2,1.9084834274722309,0.4771208568680577,3,0.09151657252776912,0.5
A. Mannion,WSL 2021-2022,4,0,0.44837774336338043,0.11209443584084511,2,-0.44837774336338043,0.0
A. Mannion,WSL 2022-2023,1,0,0.0,0.0,0,0.0,0.0
A. Masaka,WSL 2024-2025,1,0,0.0,0.0,1,0.0,0.0
A. McManus,WSL 2015,3,0,0.31890296190977097,0.10630098730325699,1,-0.31890296190977097,0.0
A. McManus,WSL 2016,4,0,0.3571709990501404,0.0892927497625351,2,-0.3571709990501404,0.0
A. McManus,WSL 2017-2018,8,2,0.7952210605144501,0.09940263256430626,4,1.20477893948555,0.25
A. McManus,WSL 2018-2019,6,1,1.2595899254083633,0.20993165423472723,4,-0.25958992540836334,0.16666666666666666
A. McManus,WSL 2019-2020,1,0,0.36796537041664124,0.36796537041664124,0,-0.36796537041664124,0.0
A. McManus,WSL 2020-2021,1,1,1.0,1.0,1,0.0,1.0
A. McManus,WSL 2021-2022,5,1,0.5152717679738998,0.10305435359477996,3,0.48472823202610016,0.2
A. McManus,WSL 2022-2023,1,0,0.0,0.0,1,0.0,0.0
A. Morgan,WSL 2020-2021,5,2,1.6140469726992817,0.32280939453985635,4,0.38595302730071834,0.4
A. Neville,WSL 2019-2020,5,1,1.2045529708266258,0.24091059416532518,3,-0.20455297082662582,0.2
A. Neville,WSL 2020-2021,8,2,1.1548665165901184,0.1443583145737648,6,0.8451334834098816,0.25
A. Neville,WSL 2021-2022,30,3,5.3477790504693985,0.17825930168231327,15,-2.3477790504693985,0.1
A. Neville,WSL 2022-2023,24,3,2.5396880134940147,0.10582033389558394,16,0.46031198650598526,0.125
A. Neville,WSL 2023-2024,14,1,1.886438675224781,0.13474561965891294,8,-0.886438675224781,0.07142857142857142
A. Neville,WSL 2024-2025,11,0,0.3717149570584297,0.033792268823493614,6,-0.3717149570584297,0.0
A. Neville,WSL 2025-2026,8,1,1.244617037475109,0.15557712968438864,4,-0.2446170374751091,0.125
A. Nildén,WSL 2018-2019,1,1,0.2291666716337204,0.2291666716337204,1,0.7708333283662796,1.0
A. Nildén,WSL 2019-2020,2,0,0.10185185074806213,0.05092592537403107,1,-0.10185185074806213,0.0
A. Nildén,WSL 2023-2024,8,0,0.8693722561001778,0.10867153201252222,3,-0.8693722561001778,0.0
A. Nildén,WSL 2024-2025,8,2,1.3048209324479103,0.1631026165559888,5,0.6951790675520897,0.25
A. Nildén,WSL 2025-2026,10,2,2.7685185372829437,0.27685185372829435,9,-0.7685185372829437,0.2
A. Nouwen,WSL 2021-2022,6,1,1.8792664855718613,0.3132110809286435,3,-0.8792664855718613,0.16666666666666666
A. Nouwen,WSL 2022-2023,2,0,0.10185185074806213,0.05092592537403107,1,-0.10185185074806213,0.0
A. Nouwen,WSL 2024-2025,4,1,0.7685185372829437,0.19212963432073593,3,0.23148146271705627,0.25
A. Oshoala,WSL 2015,22,3,2.990881785750389,0.13594917207956314,13,0.009118214249610901,0.13636363636363635
A. Oshoala,WSL 2016,17,3,3.2710792422294617,0.19241642601349773,11,-0.27107924222946167,0.17647058823529413
A. Palmer,WSL 2017,1,0,0.06358381360769272,0.06358381360769272,0,-0.06358381360769272,0.0
A. Palmer,WSL 2017-2018,5,0,0.1608247458934784,0.03216494917869568,3,-0.1608247458934784,0.0
A. Palmer,WSL 2020-2021,6,0,0.40667278319597244,0.06777879719932874,1,-0.40667278319597244,0.0
A. Palmer,WSL 2023-2024,3,1,0.0882352963089943,0.029411765436331432,3,0.9117647036910057,0.3333333333333333
A. Patten,WSL 2017,6,0,0.4460705891251564,0.07434509818752606,2,-0.4460705891251564,0.0
A. Patten,WSL 2021-2022,7,0,0.06358381360769272,0.009083401943956102,5,-0.06358381360769272,0.0
A. Patten,WSL 2022-2023,15,0,1.4977986812591553,0.09985324541727701,8,-1.4977986812591553,0.0
A. Patten,WSL 2023-2024,13,2,2.4346521720290184,0.18728093630992448,8,-0.4346521720290184,0.15384615384615385
A. Patten,WSL 2024-2025,10,2,0.9346042573451996,0.09346042573451996,8,1.0653957426548004,0.2
A. Patten,WSL 2025-2026,9,1,0.5863754525780678,0.06515282806422976,6,0.4136245474219322,0.1111111111111111
A. Plumptre,WSL 2021-2022,18,3,3.404960609972477,0.18916447833180428,6,-0.40496060997247696,0.16666666666666666
A. Plumptre,WSL 2022-2023,14,1,1.161203756928444,0.08294312549488884,9,-0.1612037569284439,0.07142857142857142
A. Riley,WSL 2018-2019,3,0,0.4364641010761261,0.14548803369204202,2,-0.4364641010761261,0.0
A. Rodgers,WSL 2017-2018,1,0,0.0804123729467392,0.0804123729467392,0,-0.0804123729467392,0.0
A. Rodgers,WSL 2018-2019,5,1,1.066895067691803,0.21337901353836058,4,-0.06689506769180298,0.2
A. Rodgers,WSL 2019-2020,2,0,0.18226422369480133,0.09113211184740067,0,-0.18226422369480133,0.0
A. Rodgers,WSL 2023-2024,18,2,1.761119805276394,0.09783998918202189,13,0.2388801947236061,0.1111111111111111
A. Russo,WSL 2020-2021,14,3,2.6909829527139664,0.1922130680509976,10,0.30901704728603363,0.21428571428571427
A. Russo,WSL 2021-2022,61,9,7.220444194972515,0.11836793762250025,40,1.779555805027485,0.14754098360655737
A. Russo,WSL 2022-2023,72,10,9.4697949513793,0.13152492988026804,47,0.5302050486207008,0.1388888888888889
A. Russo,WSL 2023-2024,79,12,14.024227923009454,0.17752187244315765,51,-2.0242279230094535,0.1518987341772152
A. Russo,WSL 2024-2025,73,12,11.44766619637972,0.15681734515588658,52,0.5523338036202805,0.1643835616438356
A. Russo,WSL 2025-2026,85,13,9.50618044868475,0.11183741704335,64,3.4938195513152497,0.15294117647058825
